label1,label2,Correlation
case_study_Apiculture,case_study_Water,0.67449615
subject_phyto_interest_phyto_decrease,subject_phyto_interest_phyto_stop,0.67300905
age,install_year,0.62920106
subject_phyto_interest_phyto_decrease,subject_phyto_interest_phyto_stationary,0.5971631
nb_culture_per_year,nb_products,0.50322588
installation_in_progress,installation_yes,0.48754991
case_study_Water,nb_products,0.47367117
formation_4,formation_5,0.4720085
age,case_study_Apiculture,0.4596118
formation_3,years_exp,0.44982518
case_study_Wine,nb_culture_per_year,0.44900823
case_study_Water,nb_culture_per_year,0.44049052
case_study_Water,case_study_Wine,0.4302823
install_year,installation_yes,0.41863185
formation_3,install_year,0.41360402
case_study_Apiculture,case_study_Wine,0.37621598
formation_7,coop_affiliate_no,0.37452843
coop_affiliate_yes,formation_7,0.37452843
sexe_sexe_m,case_study_Wine,0.36987882
case_study_Wine,sexe_sexe_f,0.36987882
installation_no,install_year,0.35946027
formation_6,nb_products,0.35574857
years_exp,case_study_Apiculture,0.35067446
case_study_Wine,nb_products,0.34233068
formation_3,age,0.34075696
case_study_Wine,years_exp,0.3203425
formation_5,formation_3,0.31645717
case_study_Apiculture,formation_5,0.31326644
subject_phyto_interest_phyto_stop,subject_influence,0.31313911
installation_no,nb_products,0.30662361
coop_affiliate_yes,case_study_Wine,0.27799335
case_study_Wine,coop_affiliate_no,0.27799335
case_study_Wine,age,0.27641527
install_year,nb_products,0.27624535
formation_7,formation_5,0.27396765
subject_influence,subject_phyto_interest_phyto_decrease,0.26199817
subject_phyto_interest_phyto_stationary,case_study_Wine,0.26169367
install_year,nb_culture_per_year,0.25544429
formation_4,formation_3,0.25328037
case_study_Wine,install_year,0.25004024
nb_culture_per_year,formation_6,0.2486869
sexe_sexe_f,installation_no,0.2467399
installation_no,sexe_sexe_m,0.2467399
age,formation_5,0.24288428
sexe_sexe_m,nb_culture_per_year,0.24069368
nb_culture_per_year,sexe_sexe_f,0.24069368
subject_priority,installation_yes,0.23398796
formation_6,install_year,0.23358131
installation_no,age,0.23132807
sexe_sexe_f,case_study_Water,0.23065552
case_study_Water,sexe_sexe_m,0.23065552
age,case_study_Water,0.22753405
formation_6,formation_5,0.22744646
formation_4,formation_7,0.21927336
subject_influence,formation_4,0.21920714
formation_6,installation_no,0.20926124
subject_influence,formation_5,0.20833289
formation_4,installation_in_progress,0.20831324
nb_products,case_study_Apiculture,0.20620064
age,installation_in_progress,0.20418895
installation_in_progress,install_year,0.20410392
case_study_Water,formation_5,0.20093686
nb_products,installation_yes,0.20086742
