name,name,num
installation_yes,installation_no,0.85865484
installation_no,installation_yes,0.85865484
years_exp,age,0.77188501
age,years_exp,0.77188501
case_study_Water,case_study_Apiculture,0.67449615
case_study_Apiculture,case_study_Water,0.67449615
subject_phyto_interest_phyto_stop,subject_phyto_interest_phyto_decrease,0.67300905
subject_phyto_interest_phyto_decrease,subject_phyto_interest_phyto_stop,0.67300905
install_year,age,0.62920106
age,install_year,0.62920106
subject_phyto_interest_phyto_stationary,subject_phyto_interest_phyto_decrease,0.5971631
subject_phyto_interest_phyto_decrease,subject_phyto_interest_phyto_stationary,0.5971631
years_exp,install_year,0.55157351
install_year,years_exp,0.55157351
nb_products,nb_culture_per_year,0.50322588
nb_culture_per_year,nb_products,0.50322588
installation_yes,installation_in_progress,0.48754991
installation_in_progress,installation_yes,0.48754991
nb_products,case_study_Water,0.47367117
case_study_Water,nb_products,0.47367117
formation_5,formation_4,0.4720085
formation_4,formation_5,0.4720085
case_study_Apiculture,age,0.4596118
age,case_study_Apiculture,0.4596118
years_exp,formation_3,0.44982518
formation_3,years_exp,0.44982518
nb_culture_per_year,case_study_Wine,0.44900823
case_study_Wine,nb_culture_per_year,0.44900823
nb_culture_per_year,case_study_Water,0.44049052
case_study_Water,nb_culture_per_year,0.44049052
case_study_Wine,case_study_Water,0.4302823
case_study_Water,case_study_Wine,0.4302823
installation_yes,install_year,0.41863185
install_year,installation_yes,0.41863185
install_year,formation_3,0.41360402
formation_3,install_year,0.41360402
case_study_Wine,case_study_Apiculture,0.37621598
case_study_Apiculture,case_study_Wine,0.37621598
formation_7,coop_affiliate_yes,0.37452843
formation_7,coop_affiliate_no,0.37452843
coop_affiliate_yes,formation_7,0.37452843
coop_affiliate_no,formation_7,0.37452843
sexe_sexe_m,case_study_Wine,0.36987882
sexe_sexe_f,case_study_Wine,0.36987882
case_study_Wine,sexe_sexe_m,0.36987882
case_study_Wine,sexe_sexe_f,0.36987882
installation_no,install_year,0.35946027
install_year,installation_no,0.35946027
nb_products,formation_6,0.35574857
formation_6,nb_products,0.35574857
years_exp,case_study_Apiculture,0.35067446
case_study_Apiculture,years_exp,0.35067446
nb_products,case_study_Wine,0.34233068
case_study_Wine,nb_products,0.34233068
formation_3,age,0.34075696
age,formation_3,0.34075696
years_exp,case_study_Wine,0.3203425
case_study_Wine,years_exp,0.3203425
formation_5,formation_3,0.31645717
formation_3,formation_5,0.31645717
formation_5,case_study_Apiculture,0.31326644
case_study_Apiculture,formation_5,0.31326644
subject_phyto_interest_phyto_stop,subject_influence,0.31313911
subject_influence,subject_phyto_interest_phyto_stop,0.31313911
nb_products,installation_no,0.30662361
installation_no,nb_products,0.30662361
coop_affiliate_yes,case_study_Wine,0.27799335
coop_affiliate_no,case_study_Wine,0.27799335
case_study_Wine,coop_affiliate_yes,0.27799335
case_study_Wine,coop_affiliate_no,0.27799335
case_study_Wine,age,0.27641527
age,case_study_Wine,0.27641527
nb_products,install_year,0.27624535
install_year,nb_products,0.27624535
formation_7,formation_5,0.27396765
formation_5,formation_7,0.27396765
subject_phyto_interest_phyto_decrease,subject_influence,0.26199817
subject_influence,subject_phyto_interest_phyto_decrease,0.26199817
subject_phyto_interest_phyto_stationary,case_study_Wine,0.26169367
case_study_Wine,subject_phyto_interest_phyto_stationary,0.26169367
nb_culture_per_year,install_year,0.25544429
install_year,nb_culture_per_year,0.25544429
formation_4,formation_3,0.25328037
formation_3,formation_4,0.25328037
install_year,case_study_Wine,0.25004024
case_study_Wine,install_year,0.25004024
nb_culture_per_year,formation_6,0.2486869
formation_6,nb_culture_per_year,0.2486869
sexe_sexe_m,installation_no,0.2467399
sexe_sexe_f,installation_no,0.2467399
installation_no,sexe_sexe_m,0.2467399
installation_no,sexe_sexe_f,0.2467399
formation_5,age,0.24288428
age,formation_5,0.24288428
sexe_sexe_m,nb_culture_per_year,0.24069368
sexe_sexe_f,nb_culture_per_year,0.24069368
nb_culture_per_year,sexe_sexe_m,0.24069368
nb_culture_per_year,sexe_sexe_f,0.24069368
subject_priority,installation_yes,0.23398796
installation_yes,subject_priority,0.23398796
install_year,formation_6,0.23358131
formation_6,install_year,0.23358131
installation_no,age,0.23132807
age,installation_no,0.23132807
sexe_sexe_m,case_study_Water,0.23065552
sexe_sexe_f,case_study_Water,0.23065552
case_study_Water,sexe_sexe_m,0.23065552
case_study_Water,sexe_sexe_f,0.23065552
case_study_Water,age,0.22753405
age,case_study_Water,0.22753405
formation_6,formation_5,0.22744646
formation_5,formation_6,0.22744646
formation_7,formation_4,0.21927336
formation_4,formation_7,0.21927336
subject_influence,formation_4,0.21920714
formation_4,subject_influence,0.21920714
installation_no,formation_6,0.20926124
formation_6,installation_no,0.20926124
subject_influence,formation_5,0.20833289
formation_5,subject_influence,0.20833289
installation_in_progress,formation_4,0.20831324
formation_4,installation_in_progress,0.20831324
nb_products,case_study_Apiculture,0.20620064
case_study_Apiculture,nb_products,0.20620064
installation_in_progress,age,0.20418895
age,installation_in_progress,0.20418895
installation_in_progress,install_year,0.20410392
install_year,installation_in_progress,0.20410392
formation_5,case_study_Water,0.20093686
case_study_Water,formation_5,0.20093686
nb_products,installation_yes,0.20086742
installation_yes,nb_products,0.20086742
